ma_BC,ten_Buu_cuc,ma_BDX,ten_BDX,ten_Cum
464081,464081 - Diễn Lâm,4655,Bưu điện xã Hùng Châu,Diễn Châu
464180,464180 - Diễn Hạnh,4601,Bưu điện xã Minh Châu,Diễn Châu
464290,464290 - Diễn Quảng,4601,Bưu điện xã Minh Châu,Diễn Châu
464300,464300 - Diễn Nguyên,4601,Bưu điện xã Minh Châu,Diễn Châu
464320,464320 - Diễn Bình,4601,Bưu điện xã Minh Châu,Diễn Châu
464340,464340 - Diễn Minh,4601,Bưu điện xã Minh Châu,Diễn Châu
464380,464380 - Diễn Cát,4601,Bưu điện xã Minh Châu,Diễn Châu
464400,464400 - Bình Thắng,4601,Bưu điện xã Minh Châu,Diễn Châu
464408,464408 - Diễn thắng,4601,Bưu điện xã Minh Châu,Diễn Châu
464200,464200 - Diễn Xuân,4651,Bưu điện xã Quảng Châu,Diễn Châu
464201,464201 - Diễn Xuân,4651,Bưu điện xã Quảng Châu,Diễn Châu
464220,464220 - Diễn Tháp,4651,Bưu điện xã Quảng Châu,Diễn Châu
464240,464240 - Diễn Liên,4651,Bưu điện xã Quảng Châu,Diễn Châu
464270,464270 - Diễn Thái,4651,Bưu điện xã Quảng Châu,Diễn Châu
464271,464271 - Diễn Đồng,4651,Bưu điện xã Quảng Châu,Diễn Châu
464440,464440 - Diễn Thọ,4653,Bưu điện xã Tân Châu,Diễn Châu
464480,464480 - Diễn Lợi,4653,Bưu điện xã Tân Châu,Diễn Châu
464500,464500 - Diễn Phú,4653,Bưu điện xã Tân Châu,Diễn Châu
464540,464540 - Diễn Lộc,4653,Bưu điện xã Tân Châu,Diễn Châu
471413,471413 - VP BĐH Đô Lương,4714,BCVH Đô Lương,Đô Lương
471415,471415 - BC KHL Đô Lương,4714,BCVH Đô Lương,Đô Lương
471490,471490 - BCP Đô Lương,4714,BCVH Đô Lương,Đô Lương
472010,472010 - Mỹ Sơn,4685,Bưu điện xã Bạch Hà,Đô Lương
472030,472030 - Trù Sơn,4685,Bưu điện xã Bạch Hà,Đô Lương
472031,472031 - Trù Sơn,4685,Bưu điện xã Bạch Hà,Đô Lương
472060,472060 - Hiến Sơn,4685,Bưu điện xã Bạch Hà,Đô Lương
472090,472090 - Đại Sơn,4685,Bưu điện xã Bạch Hà,Đô Lương
471610,471610 - Giang Sơn,4683,Bưu điện xã Bạch Ngọc,Đô Lương
471611,471611 - Giang Sơn,4683,Bưu điện xã Bạch Ngọc,Đô Lương
471700,471700 - Bồi Sơn,4683,Bưu điện xã Bạch Ngọc,Đô Lương
471730,471730 - Chợ Trung,4683,Bưu điện xã Bạch Ngọc,Đô Lương
471731,471731 - Lam Sơn,4683,Bưu điện xã Bạch Ngọc,Đô Lương
471760,471760 - Ngọc Sơn,4683,Bưu điện xã Bạch Ngọc,Đô Lương
472202,472202 - Giang Sơn Tây,4683,Bưu điện xã Bạch Ngọc,Đô Lương
471400,471400 - Đô Lương,4682,Bưu điện xã Đô Lương,Đô Lương
471401,471401 - Liên Sơn,4682,Bưu điện xã Đô Lương,Đô Lương
471430,471430 - Yên Sơn,4682,Bưu điện xã Đô Lương,Đô Lương
471450,471450 - Văn Sơn,4682,Bưu điện xã Đô Lương,Đô Lương
471470,471470 - Thịnh Sơn,4682,Bưu điện xã Đô Lương,Đô Lương
471660,471660 - Đặng Sơn,4682,Bưu điện xã Đô Lương,Đô Lương
471680,471680 - Bắc Sơn,4682,Bưu điện xã Đô Lương,Đô Lương
471780,471780 - Nam Sơn,4682,Bưu điện xã Đô Lương,Đô Lương
471781,471781 - VHX Nam Sơn,4682,Bưu điện xã Đô Lương,Đô Lương
471800,471800 - Lưu Sơn,4682,Bưu điện xã Đô Lương,Đô Lương
471821,471821 - Đà Sơn,4682,Bưu điện xã Đô Lương,Đô Lương
471520,471520 - Đông Sơn,4687,Bưu điện xã Lương Sơn,Đô Lương
471540,471540 - Bài Sơn,4687,Bưu điện xã Lương Sơn,Đô Lương
471561,471561 - Tràng Sơn,4687,Bưu điện xã Lương Sơn,Đô Lương
471590,471590 - Hồng Sơn,4687,Bưu điện xã Lương Sơn,Đô Lương
471820,471820 - Đà Sơn,4686,Bưu điện xã Thuần Trung,Đô Lương
471850,471850 - Trung Sơn,4686,Bưu điện xã Thuần Trung,Đô Lương
471870,471870 - Thuận Sơn,4686,Bưu điện xã Thuần Trung,Đô Lương
471871,471871 - Thuận Sơn,4686,Bưu điện xã Thuần Trung,Đô Lương
471890,471890 - Lạc Sơn,4686,Bưu điện xã Thuần Trung,Đô Lương
471910,471910 - Xuân Bài,4686,Bưu điện xã Thuần Trung,Đô Lương
471911,471911 - Xuân Sơn,4686,Bưu điện xã Thuần Trung,Đô Lương
471960,471960 - Mính Sơn,4686,Bưu điện xã Thuần Trung,Đô Lương
471990,471990 - Nhân Sơn,4686,Bưu điện xã Thuần Trung,Đô Lương
471500,471500 - Cầu Khuôn,4742,Bưu điện xã Văn Hiến,Đô Lương
471501,471501 - Hoà Sơn,4742,Bưu điện xã Văn Hiến,Đô Lương
471930,471930 - Tân Sơn,4742,Bưu điện xã Văn Hiến,Đô Lương
472110,472110 - Thái Sơn,4742,Bưu điện xã Văn Hiến,Đô Lương
472140,472140 - Quang Sơn,4742,Bưu điện xã Văn Hiến,Đô Lương
472150,472150 - Quang Sơn,4742,Bưu điện xã Văn Hiến,Đô Lương
472160,472160 - Thượng Sơn,4742,Bưu điện xã Văn Hiến,Đô Lương
4743_V,4743_VP - Văn phòng Bưu điện Hưng Nguyên,4743,BCVH Hưng Nguyên,Hưng Nguyên
474319,474319 - VP BĐG Hưng Nguyên,4743,BCVH Hưng Nguyên,Hưng Nguyên
474325,474325 - BC KHL Hưng Nguyên,4743,BCVH Hưng Nguyên,Hưng Nguyên
474510,474510 - BCP Hưng Nguyên,4743,BCVH Hưng Nguyên,Hưng Nguyên
474300,474300 - Hưng Nguyên,4688,Bưu điện xã Hưng Nguyên,Hưng Nguyên
474301,474301 - Hưng Thái,4688,Bưu điện xã Hưng Nguyên,Hưng Nguyên
474330,474330 - Hưng Tây,4688,Bưu điện xã Hưng Nguyên,Hưng Nguyên
474390,474390 - Hưng Đạo,4688,Bưu điện xã Hưng Nguyên,Hưng Nguyên
474630,474630 - Hưng Mỹ,4688,Bưu điện xã Hưng Nguyên,Hưng Nguyên
474670,474670 - Hưng Thịnh,4688,Bưu điện xã Hưng Nguyên,Hưng Nguyên
474440,474440 - Hưng Thông,4744,Bưu điện xã Hưng Nguyên Nam,Hưng Nguyên
474450,474450 - Hưng Xá,4744,Bưu điện xã Hưng Nguyên Nam,Hưng Nguyên
474460,474460 - Hưng Long,4744,Bưu điện xã Hưng Nguyên Nam,Hưng Nguyên
474480,474480 - Hưng Lĩnh,4744,Bưu điện xã Hưng Nguyên Nam,Hưng Nguyên
474500,474500 - Hưng Tân,4744,Bưu điện xã Hưng Nguyên Nam,Hưng Nguyên
474530,474530 - Hưng Xuân,4744,Bưu điện xã Hưng Nguyên Nam,Hưng Nguyên
474550,474550 - Hưng Lam,4744,Bưu điện xã Hưng Nguyên Nam,Hưng Nguyên
474520,474520 - Hưng Tiến,4691,Bưu điện xã Lam Thành,Hưng Nguyên
474570,474570 - Hưng Phú,4691,Bưu điện xã Lam Thành,Hưng Nguyên
474590,474590 - Hưng Thắng,4691,Bưu điện xã Lam Thành,Hưng Nguyên
474600,474600 - Hưng Châu,4691,Bưu điện xã Lam Thành,Hưng Nguyên
474610,474610 - Hưng Khánh,4691,Bưu điện xã Lam Thành,Hưng Nguyên
474620,474620 - Hưng Nhân,4691,Bưu điện xã Lam Thành,Hưng Nguyên
474640,474640 - Hưng Châu,4691,Bưu điện xã Lam Thành,Hưng Nguyên
474660,474660 - Hưng Lợi,4691,Bưu điện xã Lam Thành,Hưng Nguyên
474360,474360 - Hưng Yên Bắc,4689,Bưu điện xã Yên Trung,Hưng Nguyên
474375,474375 - Hưng Yên Nam,4689,Bưu điện xã Yên Trung,Hưng Nguyên
474380,474380 - Hưng Trung,4689,Bưu điện xã Yên Trung,Hưng Nguyên
474720,VSIP Nghệ An,4688,Bưu điện xã Hưng Nguyên,Hưng Nguyên
4738_V,4738_VP - Văn phòng Bưu điện Kỳ Sơn,4738,BCVH Kỳ Sơn,Kỳ Sơn
473811,473811 - VP BĐH Kỳ Sơn,4738,BCVH Kỳ Sơn,Kỳ Sơn
473840,473840 - Khe Nằn,4695,Bưu điện xã Chiêu Lưu,Kỳ Sơn
473820,473820 - Hữu Kiệm,4695,Bưu điện xã Chiêu Lưu,Kỳ Sơn
473841,473841 - Chưu Lưu,4695,Bưu điện xã Chiêu Lưu,Kỳ Sơn
473860,473860 - Hữu Lập,4695,Bưu điện xã Chiêu Lưu,Kỳ Sơn
473870,473870 - Bảo Nam,4695,Bưu điện xã Chiêu Lưu,Kỳ Sơn
473895,473895 - Bảo Thắng,4695,Bưu điện xã Chiêu Lưu,Kỳ Sơn
474138,474138 - Na Ngoi,4695,Bưu điện xã Chiêu Lưu,Kỳ Sơn
474155,474155 - Nậm Càn,4695,Bưu điện xã Chiêu Lưu,Kỳ Sơn
473961,473961 - Xã Huồi Tụ,4702,Bưu điện xã Huồi Tụ,Kỳ Sơn
473996,473996 - Na Loi,4702,Bưu điện xã Huồi Tụ,Kỳ Sơn
474026,474026 - Đọoc Mạy,4702,Bưu điện xã Huồi Tụ,Kỳ Sơn
474040,474040 - Keng đu,4702,Bưu điện xã Huồi Tụ,Kỳ Sơn
473800,473800 - Kỳ Sơn,4692,Bưu điện xã Mường Xén,Kỳ Sơn
473801,473801 - Mường Xén,4692,Bưu điện xã Mường Xén,Kỳ Sơn
473930,473930 - Phà Đánh,4692,Bưu điện xã Mường Xén,Kỳ Sơn
474060,474060 - Tà Cạ,4692,Bưu điện xã Mường Xén,Kỳ Sơn
